yr	.py	.tar	.zip	.pdf	.txt	.jpg	.mp4	.ino	.help	.docx	.exe	.in	.csv	.html	.pl	.deb	.png	.wmv	.c	other
1998	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1999	0	0	0	10	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
2009	0	2	10	0	0	0	3	0	0	0	2	0	1	0	0	0	0	0	1	1
2010	1	5	12	2	0	0	3	0	0	0	0	0	0	1	0	1	0	1	1	7
2011	0	1	9	1	1	0	5	0	0	0	0	0	0	0	1	0	0	4	0	9
2012	3	2	19	2	1	1	8	0	0	0	0	0	0	1	0	0	0	2	0	6
2013	27	33	18	7	3	0	1	2	0	0	3	4	0	0	1	4	0	0	0	8
2014	32	19	8	1	7	1	5	0	0	0	1	0	0	0	0	0	1	0	0	5
2015	65	26	1	4	3	2	2	1	0	3	1	0	3	0	0	0	1	0	0	11
2016	112	46	12	7	26	26	4	2	7	2	5	1	4	3	0	0	4	1	5	22
2017	64	22	5	27	11	7	0	10	5	10	2	4	3	2	7	4	0	0	0	27
2018	48	3	5	25	12	18	2	10	9	3	2	4	1	2	0	0	3	0	0	20
2019	5	0	0	2	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0
